Country,C1_raw,C2_raw,C3_raw,C4_raw,C1_norm,C2_norm,C3_norm,C4_norm,SCS,Tier,MapCountry,ISO3
United States,265158,22,358,168,1.0,1.0,1.0,1.0,1.0,Tier 1,United States of America,USA
Germany,68381,21,288,155,0.2578877499453156,0.9545454545454546,0.8044692737430168,0.9226190476190476,0.6759110607359573,Tier 2,Germany,DEU
France,69030,21,281,155,0.2603353472269364,0.9545454545454546,0.7849162011173184,0.9226190476190476,0.672857105259385,Tier 2,France,FRA
Spain,72694,21,252,156,0.2741535235595381,0.9545454545454546,0.7039106145251397,0.9285714285714286,0.662385206800217,Tier 2,Spain,ESP
Italy,64761,21,195,160,0.2442355124114678,0.9545454545454546,0.5446927374301676,0.9523809523809524,0.6236417560508265,Tier 2,Italy,ITA
Belgium,32339,21,270,126,0.1219612457478182,0.9545454545454546,0.7541899441340782,0.75,0.5923880612021883,Tier 2,Belgium,BEL
United Kingdom,21626,21,196,140,0.0815589195875666,0.9545454545454546,0.547486033519553,0.8333333333333334,0.5494064649231953,Tier 2,United Kingdom,GBR
Hungary,19238,21,214,132,0.0725529684188295,0.9545454545454546,0.5977653631284916,0.7857142857142857,0.5491673907930679,Tier 2,Hungary,HUN
Czech Republic,20855,19,232,145,0.0786512192730372,0.8636363636363636,0.6480446927374302,0.8630952380952381,0.5456920600982439,Tier 2,Czechia,CZE
Canada,28778,21,142,128,0.1085315170577542,0.9545454545454546,0.3966480446927374,0.7619047619047619,0.5179649905581121,Tier 2,Canada,CAN
Australia,19496,21,180,101,0.0735259731933413,0.9545454545454546,0.5027932960893855,0.6011904761904762,0.5028349576277543,Tier 2,Australia,AUS
Greece,19147,21,133,130,0.0722097768123156,0.9545454545454546,0.3715083798882682,0.7738095238095238,0.502010162797029,Tier 2,Greece,GRC
Sweden,10301,21,178,106,0.038848535590101,0.9545454545454546,0.4972067039106145,0.6309523809523809,0.4940448217451518,Tier 2,Sweden,SWE
China,37034,21,149,83,0.1396676698421318,0.9545454545454546,0.4162011173184357,0.494047619047619,0.4925946871292125,Tier 2,China,CHN
Turkey,19944,20,140,121,0.0752155318715633,0.9090909090909092,0.3910614525139664,0.7202380952380952,0.4853007136708274,Tier 2,Turkey,
Mexico,25939,20,134,114,0.0978246932017891,0.9090909090909092,0.3743016759776536,0.6785714285714286,0.4836119648291439,Tier 2,Mexico,MEX
Portugal,21204,21,132,104,0.0799674156540628,0.9545454545454546,0.3687150837988827,0.6190476190476191,0.4809523914594777,Tier 2,Portugal,PRT
Argentina,18924,21,120,113,0.0713687688095399,0.9545454545454546,0.3351955307262569,0.6726190476190477,0.4792746687350838,Tier 2,Argentina,ARG
Brazil,17316,21,140,96,0.0653044599823501,0.9545454545454546,0.3910614525139664,0.5714285714285714,0.4731467735745379,Tier 2,Brazil,BRA
Israel,18761,20,130,103,0.0707540409868832,0.9090909090909092,0.3631284916201117,0.6130952380952381,0.4620811711109899,Tier 2,Israel,ISR
Chile,13791,21,122,99,0.0520104994003575,0.9545454545454546,0.3407821229050279,0.5892857142857143,0.4611165928776242,Tier 2,Chile,CHL
Ireland,10332,21,134,96,0.0389654470164958,0.9545454545454546,0.3743016759776536,0.5714285714285714,0.4605761637292263,Tier 2,Ireland,IRL
Colombia,15737,20,121,104,0.0593495199088845,0.9090909090909092,0.3379888268156424,0.6190476190476191,0.4539545129156536,Tier 2,Colombia,COL
South Korea,17443,20,124,87,0.0657834196969354,0.9090909090909092,0.3463687150837989,0.5178571428571429,0.4427037840665312,Tier 2,Republic of Korea,KOR
South Africa,14993,21,112,79,0.0565436456754086,0.9545454545454546,0.3128491620111732,0.4702380952380952,0.4392594590379782,Tier 2,South Africa,ZAF
Denmark,8533,20,91,90,0.0321808129492604,0.9090909090909092,0.2541899441340782,0.5357142857142857,0.4151856889434723,Tier 2,Denmark,DNK
Thailand,14022,17,150,90,0.0528816780938157,0.7727272727272727,0.4189944134078212,0.5357142857142857,0.4144827946897244,Tier 2,Thailand,THA
Venezuela,10983,20,111,73,0.0414205869707872,0.9090909090909092,0.3100558659217877,0.4345238095238095,0.4144142227799772,Tier 2,Venezuela,VEN
Netherlands,8606,20,97,77,0.0324561205017385,0.9090909090909092,0.2709497206703911,0.4583333333333333,0.4070268590369594,Tier 2,Netherlands,NLD
Romania,9916,18,107,96,0.0373965711010039,0.8181818181818182,0.2988826815642458,0.5714285714285714,0.4040341673670317,Tier 2,Romania,ROU
Philippines,12394,17,118,90,0.0467419425399196,0.7727272727272727,0.329608938547486,0.5357142857142857,0.3944567922737937,Tier 2,Philippines,PHL
Taiwan,15874,18,110,72,0.0598661929868229,0.8181818181818182,0.3072625698324022,0.4285714285714285,0.3921459412521282,Tier 2,Taiwan,TWN
Switzerland,7955,19,86,78,0.0300009805474471,0.8636363636363636,0.2402234636871508,0.4642857142857143,0.3872788021628029,Tier 2,Switzerland,CHE
Panama,5098,19,74,84,0.0192262726374463,0.8636363636363636,0.2067039106145251,0.5,0.3821608866369204,Tier 2,Panama,PAN
India,17706,17,99,80,0.0667752811531238,0.7727272727272727,0.276536312849162,0.4761904761904761,0.381925364220179,Tier 2,India,IND
Poland,12890,16,99,98,0.0486125253622368,0.7272727272727273,0.276536312849162,0.5833333333333334,0.3780034646284335,Tier 2,Poland,POL
Croatia,10488,18,80,80,0.0395537754848052,0.8181818181818182,0.2234636871508379,0.4761904761904761,0.3754196757329663,Tier 2,Croatia,HRV
