institution_country,genus,total_funding_usd,public_funding_usd,private_funding_usd,public_private_partnership_funding_usd,unclassified_funding_usd,n_projects,n_active_projects,n_from_abstract_mining,n_from_category_only,earliest_project_start_year,latest_project_end_year,funding_trend_slope_2017_2024,score_baseline,score_floor_0001,score_floor_001,score_excluded,rank_baseline,rank_floor_0001,rank_floor_001,rank_excluded
Argentina,Staphylococcus,60450.97,31460.39,28990.58,0.0,0.0,4,0,2,2,2013,2019,-1725.6297619047618,7.565875143678953e-05,0.0005756587514367895,0.00507565875143679,7.565875143678953e-05,714.0,1030.0,1018.0,714.0
Argentina,Enterobacter,26276.36,26276.36,0.0,0.0,0.0,1,0,0,1,2016,2019,0.0,1.0446959129540224e-05,0.0007604469591295402,0.00751044695912954,1.0446959129540224e-05,947.0,901.0,710.0,947.0
Argentina,Acinetobacter,11040.21,11040.21,0.0,0.0,0.0,1,0,0,1,2015,2018,0.0,4.389368339128451e-06,0.0007543893683391284,0.0075043893683391285,4.389368339128451e-06,984.0,939.0,747.0,984.0
Argentina,Enterobacteriaceae,5509.57,5509.57,0.0,0.0,0.0,1,0,0,1,2016,2019,0.0,2.1904956626922806e-06,0.0007521904956626922,0.007502190495662692,2.1904956626922806e-06,994.0,950.0,758.0,994.0
Australia,Streptococcus,35858732.56,25750332.77,10108399.79,0.0,0.0,52,4,21,32,2014,2027,-428973.0733333333,0.04126614726245648,0.04151614726245648,0.043766147262456485,0.04126614726245648,45.0,45.0,46.0,45.0
Australia,Staphylococcus,18637437.806666665,18384633.726666667,252804.08,0.0,0.0,32,5,26,6,2011,2027,7268.319642857127,0.019271829285989875,0.019371829285989878,0.020271829285989876,0.019271829285989875,92.0,92.0,107.0,92.0
Australia,Neisseria,13261293.55,11953526.075,149999.99,1157767.485,0.0,20,6,8,13,2015,2028,271758.2195238095,0.02579132757791014,0.02579132757791014,0.02579132757791014,0.02579132757791014,73.0,75.0,80.0,73.0
Australia,Acinetobacter,7862492.283333333,7862492.283333333,0.0,0.0,0.0,14,0,11,3,2014,2025,-260559.8755555556,0.00312597085518347,0.0038759708551834695,0.01062597085518347,0.00312597085518347,307.0,288.0,192.0,307.0
Australia,Pseudomonas,6606115.800000001,6606115.800000001,0.0,0.0,0.0,12,1,9,3,2012,2026,-120225.65305555558,0.004878712757725991,0.00537871275772599,0.009878712757725991,0.004878712757725991,230.0,226.0,227.0,230.0
Australia,Escherichia,6393845.57,6393845.570000001,0.0,0.0,0.0,15,5,4,11,2013,2027,227517.39904761908,0.018514831696420955,0.018864831696420954,0.022014831696420954,0.018514831696420955,95.0,95.0,94.0,95.0
Australia,Klebsiella,4110637.613333333,3886394.633333333,224242.98,0.0,0.0,9,2,8,1,2014,2026,-119420.68984126984,0.006538130557564032,0.006788130557564032,0.009038130557564032,0.006538130557564032,196.0,200.0,263.0,196.0
Australia,Helicobacter,3264191.22,3264191.22,0.0,0.0,0.0,8,1,7,2,2014,2027,59816.14,0.004788721982620563,0.005138721982620563,0.008288721982620564,0.004788721982620563,237.0,242.0,313.0,237.0
Australia,Chlamydia,3239627.515,2081860.03,0.0,1157767.485,0.0,5,0,4,2,2017,2025,-69052.00720238095,0.002398630139093326,0.0030486301390933255,0.008898630139093327,0.002398630139093326,400.0,366.0,271.0,400.0
