country_code,country_name,region,consumption_raw,consumption_norm,consumption_pts,healthcare_access_raw,healthcare_access_norm,healthcare_access_pts,gdp_raw,gdp_norm,gdp_pts,neighbor_resistance_raw,neighbor_resistance_norm,neighbor_resistance_pts,travel_raw,travel_norm,travel_pts,outbreak_raw,outbreak_norm,outbreak_pts,blindspot_risk_score
BHS,Bahamas,Americas,0.0,1.0,0.25,0.0,1.0,0.2,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,8,0.2,0.02,0.92
GMB,Gambia,Africa,0.0,1.0,0.25,0.0,1.0,0.2,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,6,0.15,0.015,0.915
KNA,Saint Kitts and Nevis,Americas,0.0,1.0,0.25,0.0,1.0,0.2,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,6,0.15,0.015,0.915
NRU,Nauru,Oceania,0.0,1.0,0.25,0.0,1.0,0.2,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,3,0.075,0.0075,0.9075
TUV,Tuvalu,Oceania,0.0,1.0,0.25,0.0,1.0,0.2,5337.91,0.9752,0.1463,0.0,1.0,0.2,0.0,1.0,0.1,4,0.1,0.01,0.9063
PLW,Palau,Oceania,0.0,1.0,0.25,0.0,1.0,0.2,14635.8,0.9321,0.1398,0.0,1.0,0.2,0.0,1.0,0.1,6,0.15,0.015,0.9048
FSM,Micronesia,Oceania,0.0,1.0,0.25,0.0,1.0,0.2,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,0,0.0,0.0,0.9
COD,DR Congo,Africa,0.0,1.0,0.25,0.0,1.0,0.2,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,0,0.0,0.0,0.9
SOM,Somalia,Africa,0.0,1.0,0.25,34.2,0.658,0.1316,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,14,0.35,0.035,0.8666
COG,Congo,Africa,0.0,1.0,0.25,43.5,0.565,0.113,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,19,0.475,0.0475,0.8605
SSD,South Sudan,Africa,0.0,1.0,0.25,38.8,0.612,0.1224,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,15,0.375,0.0375,0.8599
YEM,Yemen,Asia,0.0,1.0,0.25,49.6,0.504,0.1008,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,9,0.225,0.0225,0.8233
CPV,Cabo Verde,Africa,0.0,1.0,0.25,0.0,1.0,0.2,4201.93,0.9805,0.1471,0.0,1.0,0.2,247125.86,0.0039,0.0004,7,0.175,0.0175,0.815
LAO,Laos,Asia,0.0,1.0,0.25,44.9,0.551,0.1102,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,0,0.0,0.0,0.8102
NGA,Nigeria,Africa,0.0,1.0,0.25,51.3,0.487,0.0974,2762.48,0.9872,0.1481,0.0,1.0,0.2,4988476.12,0.0783,0.0078,40,1.0,0.1,0.8033
VCT,Saint Vincent and the Grenadines,Americas,0.0,1.0,0.25,57.5,0.425,0.085,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,7,0.175,0.0175,0.8025
LCA,Saint Lucia,Americas,0.0,1.0,0.25,62.5,0.375,0.075,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,10,0.25,0.025,0.8
GRD,Grenada,Americas,0.0,1.0,0.25,58.3,0.417,0.0834,10186.5,0.9527,0.1429,0.0,1.0,0.2,0.0,1.0,0.1,7,0.175,0.0175,0.7938
DMA,Dominica,Americas,0.0,1.0,0.25,58.1,0.419,0.0838,8986.39,0.9583,0.1437,0.0,1.0,0.2,0.0,1.0,0.1,6,0.15,0.015,0.7925
CAF,Central African Republic,Africa,0.0,1.0,0.25,28.6,0.714,0.1428,473.54,0.9978,0.1497,0.0,1.0,0.2,76707.4,0.0012,0.0001,17,0.425,0.0425,0.7851
PRK,North Korea,Asia,0.0,1.0,0.25,62.3,0.377,0.0754,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,0,0.0,0.0,0.7754
NER,Niger,Africa,0.0,1.0,0.25,41.0,0.59,0.118,597.57,0.9972,0.1496,0.0,1.0,0.2,12314.4,0.0002,0.0,22,0.55,0.055,0.7726
TCD,Chad,Africa,0.0,1.0,0.25,37.7,0.623,0.1246,924.53,0.9957,0.1494,0.0,1.0,0.2,46325.32,0.0007,0.0001,19,0.475,0.0475,0.7716
VNM,Vietnam,Asia,0.0,1.0,0.25,66.3,0.337,0.0674,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,0,0.0,0.0,0.7674
GIN,Guinea,Africa,0.0,1.0,0.25,38.6,0.614,0.1228,1260.41,0.9942,0.1491,0.0,1.0,0.2,40440.0,0.0006,0.0001,17,0.425,0.0425,0.7645
CIV,Côte d'Ivoire,Africa,15.448261986666664,0.2521,0.063,0.0,1.0,0.2,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,20,0.5,0.05,0.763
CMR,Cameroon,Africa,0.0,1.0,0.25,44.4,0.556,0.1112,1621.7,0.9925,0.1489,0.0,1.0,0.2,177237.2,0.0028,0.0003,21,0.525,0.0525,0.7629
SMR,San Marino,Europe,0.0,1.0,0.25,0.0,1.0,0.2,51871.7,0.7593,0.1139,0.1038,0.4438,0.0888,0.0,1.0,0.1,4,0.1,0.01,0.7627
TGO,Togo,Africa,0.0,1.0,0.25,44.3,0.557,0.1114,1041.84,0.9952,0.1493,0.0,1.0,0.2,997851.07,0.0157,0.0016,20,0.5,0.05,0.7623
BRN,Brunei,Asia,0.0,1.0,0.25,70.0,0.3,0.06,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,0,0.0,0.0,0.76
IRN,Iran,Asia,61.27671814525,1.0,0.25,71.1,0.289,0.0578,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,0,0.0,0.0,0.7578
RUS,Russia,Europe,0.0,1.0,0.25,71.7,0.283,0.0566,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,0,0.0,0.0,0.7566
ARE,United Arab Emirates,Asia,0.0,1.0,0.25,72.2,0.278,0.0556,45731.86,0.7878,0.1182,0.0,1.0,0.2,61612574.62,0.9674,0.0967,14,0.35,0.035,0.7555
SYR,Syria,Asia,0.0,1.0,0.25,74.6,0.254,0.0508,0.0,1.0,0.15,0.0,1.0,0.2,0.0,1.0,0.1,0,0.0,0.0,0.7508
HTI,Haiti,Americas,0.0,1.0,0.25,38.5,0.615,0.123,1579.49,0.9927,0.1489,0.0,1.0,0.2,39523.25,0.0006,0.0001,11,0.275,0.0275,0.7495
BDI,Burundi,Africa,0.0,1.0,0.25,40.4,0.596,0.1192,260.56,0.9988,0.1498,0.0,1.0,0.2,10340.0,0.0002,0.0,12,0.3,0.03,0.749
AGO,Angola,Africa,0.0,1.0,0.25,40.7,0.593,0.1186,2601.61,0.9879,0.1482,0.0,1.0,0.2,864456.8,0.0136,0.0014,11,0.275,0.0275,0.7457
GHA,Ghana,Africa,0.0,1.0,0.25,49.7,0.503,0.1006,2288.22,0.9894,0.1484,0.0,1.0,0.2,493396.8,0.0077,0.0008,18,0.45,0.045,0.7448
MDG,Madagascar,Africa,0.0,1.0,0.25,43.7,0.563,0.1126,490.44,0.9977,0.1497,0.0,1.0,0.2,280810.55,0.0044,0.0004,11,0.275,0.0275,0.7402
SLE,Sierra Leone,Africa,0.0,1.0,0.25,41.3,0.587,0.1174,838.62,0.9961,0.1494,0.0,1.0,0.2,28437.2,0.0004,0.0,8,0.2,0.02,0.7368
GNB,Guinea-Bissau,Africa,0.0,1.0,0.25,36.3,0.637,0.1274,886.14,0.9959,0.1494,0.0,1.0,0.2,20480.0,0.0003,0.0,4,0.1,0.01,0.7368
MKD,North Macedonia,Europe,0.0,1.0,0.25,0.0,1.0,0.2,7455.97,0.9654,0.1448,0.1444,0.6174,0.1235,183777.2,0.0029,0.0003,7,0.175,0.0175,0.7361
ERI,Eritrea,Africa,0.0,1.0,0.25,38.1,0.619,0.1238,0.0,1.0,0.15,0.0,1.0,0.2,81050.84,0.0013,0.0001,4,0.1,0.01,0.7339
LBR,Liberia,Africa,0.0,1.0,0.25,45.4,0.546,0.1092,697.35,0.9968,0.1495,0.0,1.0,0.2,37940.0,0.0006,0.0001,10,0.25,0.025,0.7338
MWI,Malawi,Africa,0.0,1.0,0.25,47.0,0.53,0.106,607.67,0.9972,0.1496,0.0,1.0,0.2,3460.2,0.0001,0.0,9,0.225,0.0225,0.7281
SLB,Solomon Islands,Oceania,0.0,1.0,0.25,43.1,0.569,0.1138,2018.17,0.9906,0.1486,0.0,1.0,0.2,147781.69,0.0023,0.0002,6,0.15,0.015,0.7276
PAK,Pakistan,Asia,0.0,1.0,0.25,43.1,0.569,0.1138,1404.56,0.9935,0.149,0.1811,0.7743,0.1549,6028278.62,0.0947,0.0095,20,0.5,0.05,0.7272
VUT,Vanuatu,Oceania,0.0,1.0,0.25,43.1,0.569,0.1138,3600.76,0.9833,0.1475,0.0,1.0,0.2,264640.74,0.0042,0.0004,6,0.15,0.015,0.7267
MRT,Mauritania,Africa,0.0,1.0,0.25,52.0,0.48,0.096,1919.9,0.9911,0.1487,0.0,1.0,0.2,283499.16,0.0045,0.0004,12,0.3,0.03,0.7251
FJI,Fiji,Oceania,0.0,1.0,0.25,46.6,0.534,0.1068,5267.96,0.9756,0.1463,0.0,1.0,0.2,1113241.99,0.0175,0.0018,7,0.175,0.0175,0.7224
STP,Sao Tome and Principe,Africa,0.0,1.0,0.25,49.6,0.504,0.1008,2369.1,0.989,0.1483,0.0,1.0,0.2,33618.8,0.0005,0.0,8,0.2,0.02,0.7191
KIR,Kiribati,Oceania,0.0,1.0,0.25,44.9,0.551,0.1102,2001.02,0.9907,0.1486,0.0,1.0,0.2,58926.73,0.0009,0.0001,3,0.075,0.0075,0.7164
DJI,Djibouti,Africa,0.0,1.0,0.25,44.7,0.553,0.1106,3044.5,0.9859,0.1479,0.0,1.0,0.2,128060.0,0.002,0.0002,3,0.075,0.0075,0.7162
COM,Comoros,Africa,0.0,1.0,0.25,47.7,0.523,0.1046,1578.39,0.9927,0.1489,0.0,1.0,0.2,26520.0,0.0004,0.0,5,0.125,0.0125,0.716
GNQ,Equatorial Guinea,Africa,0.0,1.0,0.25,48.4,0.516,0.1032,6778.3,0.9685,0.1453,0.0,1.0,0.2,176998.2,0.0028,0.0003,5,0.125,0.0125,0.7113
SWZ,Eswatini,Africa,0.0,1.0,0.25,0.0,1.0,0.2,3802.68,0.9824,0.1474,0.1171,0.5006,0.1001,29509.84,0.0005,0.0,5,0.125,0.0125,0.71
MHL,Marshall Islands,Oceania,0.0,1.0,0.25,49.8,0.502,0.1004,6104.93,0.9717,0.1458,0.0,1.0,0.2,23770.83,0.0004,0.0,5,0.125,0.0125,0.7087
KGZ,Kyrgyzstan,Asia,0.0,1.0,0.25,60.4,0.396,0.0792,0.0,1.0,0.15,0.1284,0.549,0.1098,0.0,1.0,0.1,6,0.15,0.015,0.704
DZA,Algeria,Africa,0.0,1.0,0.25,63.7,0.363,0.0726,4540.67,0.9789,0.1468,0.0,1.0,0.2,4388805.67,0.0689,0.0069,11,0.275,0.0275,0.7038
NAM,Namibia,Africa,0.0,1.0,0.25,53.7,0.463,0.0926,4319.83,0.98,0.147,0.0,1.0,0.2,84347.61,0.0013,0.0001,3,0.075,0.0075,0.6972
UZB,Uzbekistan,Asia,0.0,1.0,0.25,62.3,0.377,0.0754,2460.31,0.9886,0.1483,0.0,1.0,0.2,3141362.8,0.0493,0.0049,7,0.175,0.0175,0.6961
JAM,Jamaica,Americas,0.0,1.0,0.25,63.7,0.363,0.0726,6224.86,0.9711,0.1457,0.0,1.0,0.2,127620.25,0.002,0.0002,11,0.275,0.0275,0.696
NIC,Nicaragua,Americas,0.0,1.0,0.25,64.3,0.357,0.0714,2193.56,0.9898,0.1485,0.0,1.0,0.2,54686.2,0.0009,0.0001,10,0.25,0.025,0.695
WSM,Samoa,Oceania,0.0,1.0,0.25,62.1,0.379,0.0758,4285.66,0.9801,0.147,0.0,1.0,0.2,31159.6,0.0005,0.0,8,0.2,0.02,0.6928
DOM,Dominican Republic,Americas,0.0,1.0,0.25,62.5,0.375,0.075,8916.0,0.9586,0.1438,0.0,1.0,0.2,320731.6,0.005,0.0005,9,0.225,0.0225,0.6918
IDN,Indonesia,Asia,26.162806117,0.427,0.1068,49.2,0.508,0.1016,4370.99,0.9797,0.147,0.0,1.0,0.2,63686755.71,1.0,0.1,14,0.35,0.035,0.6904
TON,Tonga,Oceania,0.0,1.0,0.25,62.1,0.379,0.0758,5090.72,0.9764,0.1465,0.0,1.0,0.2,60621.4,0.001,0.0001,7,0.175,0.0175,0.6899
MUS,Mauritius,Africa,0.0,1.0,0.25,65.7,0.343,0.0686,10279.66,0.9523,0.1428,0.0,1.0,0.2,980710.0,0.0154,0.0015,10,0.25,0.025,0.6879
TTO,Trinidad and Tobago,Americas,0.0,1.0,0.25,62.1,0.379,0.0758,17853.56,0.9171,0.1376,0.0,1.0,0.2,1493075.4,0.0234,0.0023,8,0.2,0.02,0.6857
BOL,Bolivia,Americas,0.0,1.0,0.25,59.2,0.408,0.0816,4057.81,0.9812,0.1472,0.0,1.0,0.2,4337175.81,0.0681,0.0068,0,0.0,0.0,0.6856
TKM,Turkmenistan,Asia,0.0,1.0,0.25,58.1,0.419,0.0838,4502.07,0.9791,0.1469,0.0,1.0,0.2,1119954.84,0.0176,0.0018,0,0.0,0.0,0.6825
LKA,Sri Lanka,Asia,0.0,1.0,0.25,72.8,0.272,0.0544,3816.91,0.9823,0.1473,0.0,1.0,0.2,2962610.2,0.0465,0.0047,10,0.25,0.025,0.6814
BRB,Barbados,Americas,0.0,1.0,0.25,66.8,0.332,0.0664,22434.38,0.8959,0.1344,0.0,1.0,0.2,3400.0,0.0001,0.0,11,0.275,0.0275,0.6783
SYC,Seychelles,Africa,0.0,1.0,0.25,66.1,0.339,0.0678,16595.83,0.923,0.1384,0.0,1.0,0.2,231162.6,0.0036,0.0004,8,0.2,0.02,0.6766
AFG,Afghanistan,Asia,0.0,1.0,0.25,32.5,0.675,0.135,426.98,0.998,0.1497,0.1284,0.549,0.1098,799559.88,0.0126,0.0013,12,0.3,0.03,0.6758
LIE,Liechtenstein,Europe,0.0,1.0,0.25,0.0,1.0,0.2,185671.87,0.1383,0.0207,0.101,0.4318,0.0864,0.0,1.0,0.1,6,0.15,0.015,0.6721
CUB,Cuba,Americas,0.0,1.0,0.25,73.5,0.265,0.053,9418.77,0.9563,0.1434,0.0,1.0,0.2,171182.08,0.0027,0.0003,10,0.25,0.025,0.6717
