country,Rank_1_Pathogen_Drug,Rank_1_Resistant_Count,Rank_2_Pathogen_Drug,Rank_2_Resistant_Count,Rank_3_Pathogen_Drug,Rank_3_Resistant_Count,Rank_4_Pathogen_Drug,Rank_4_Resistant_Count,Rank_5_Pathogen_Drug,Rank_5_Resistant_Count
Argentina,Klebsiella pneumoniae + Ampicillin,2116,Escherichia coli + Ampicillin,1623,Staphylococcus aureus + Oxacillin,1316,Klebsiella pneumoniae + Piperacillin-tazobactam,1044,Klebsiella pneumoniae + Cefepime,970
Australia,Klebsiella pneumoniae + Ampicillin,1443,Staphylococcus aureus + Oxacillin,1409,Escherichia coli + Ampicillin,1152,Staphylococcus aureus + Erythromycin,816,Staphylococcus aureus + Levofloxacin,563
Austria,Staphylococcus aureus + Oxacillin,437,Klebsiella pneumoniae + Ampicillin,422,Staphylococcus aureus + Levofloxacin,374,Staphylococcus aureus + Erythromycin,360,Escherichia coli + Ampicillin,338
Belarus,Klebsiella pneumoniae + Cefepime,57,Klebsiella pneumoniae + Ceftazidime,54,Klebsiella pneumoniae + Trimethoprim-sulfamethoxazole,52,Klebsiella pneumoniae + Ceftriaxone,50,Klebsiella pneumoniae + Levofloxacin,49
Belgium,Klebsiella pneumoniae + Ampicillin,2332,Escherichia coli + Ampicillin,2159,Staphylococcus aureus + Erythromycin,1149,Staphylococcus aureus + Levofloxacin,1137,Enterobacter cloacae complex + Amoxicillin-clavulanate,1133
Brazil,Klebsiella pneumoniae + Ampicillin,2199,Staphylococcus aureus + Erythromycin,1573,Escherichia coli + Ampicillin,1466,Klebsiella pneumoniae + Levofloxacin,1360,Klebsiella pneumoniae + Cefepime,1337
Bulgaria,Klebsiella pneumoniae + Ampicillin,314,Escherichia coli + Ampicillin,240,Klebsiella pneumoniae + Cefepime,228,Acinetobacter baumannii + Amikacin,226,Acinetobacter baumannii + Ceftazidime,225
Cambodia,Streptococcus pneumoniae + Cefaclor,24,Streptococcus pneumoniae + Erythromycin,23,Streptococcus pneumoniae + Clarithromycin,22,Streptococcus pneumoniae + Azithromycin,21,Streptococcus pneumoniae + Cefuroxime,21
Cameroon,Escherichia coli + Ampicillin,197,Escherichia coli + Trimethoprim-sulfamethoxazole,191,Klebsiella pneumoniae + Ampicillin,176,Klebsiella pneumoniae + Trimethoprim-sulfamethoxazole,135,Klebsiella pneumoniae + Ceftaroline,117
Canada,Klebsiella pneumoniae + Ampicillin,1956,Escherichia coli + Ampicillin,1571,Enterobacter cloacae complex + Amoxicillin-clavulanate,1341,Enterobacter cloacae complex + Ampicillin,1274,Escherichia coli + Levofloxacin,842
Chile,Klebsiella pneumoniae + Ampicillin,1446,Staphylococcus aureus + Levofloxacin,1098,Staphylococcus aureus + Erythromycin,1082,Escherichia coli + Ampicillin,1067,Staphylococcus aureus + Oxacillin,922
China,Staphylococcus aureus + Erythromycin,4463,Klebsiella pneumoniae + Ampicillin,4352,Escherichia coli + Ampicillin,4117,Staphylococcus aureus + Oxacillin,3050,Escherichia coli + Levofloxacin,2994
Colombia,Klebsiella pneumoniae + Ampicillin,1897,Escherichia coli + Ampicillin,1725,Staphylococcus aureus + Oxacillin,1004,Escherichia coli + Levofloxacin,922,Klebsiella pneumoniae + Piperacillin-tazobactam,734
Costa Rica,Klebsiella pneumoniae + Ampicillin,163,Escherichia coli + Ampicillin,122,Staphylococcus aureus + Oxacillin,116,Escherichia coli + Trimethoprim-sulfamethoxazole,100,Staphylococcus aureus + Erythromycin,72
Cote d'Ivoire,Escherichia coli + Ampicillin,179,Klebsiella pneumoniae + Ampicillin,176,Escherichia coli + Ceftaroline,154,Escherichia coli + Trimethoprim-sulfamethoxazole,154,Klebsiella pneumoniae + Ceftaroline,150
Croatia,Klebsiella pneumoniae + Ampicillin,1092,Acinetobacter baumannii + Ceftazidime,848,Acinetobacter baumannii + Meropenem,837,Acinetobacter baumannii + Piperacillin-tazobactam,824,Acinetobacter baumannii + Amikacin,788
Czech Republic,Klebsiella pneumoniae + Ampicillin,1518,Escherichia coli + Ampicillin,1018,Staphylococcus aureus + Erythromycin,1018,Staphylococcus aureus + Levofloxacin,956,Staphylococcus aureus + Oxacillin,831
Denmark,Klebsiella pneumoniae + Ampicillin,651,Staphylococcus aureus + Oxacillin,571,Escherichia coli + Ampicillin,491,Enterobacter cloacae complex + Amoxicillin-clavulanate,412,Enterobacter cloacae complex + Ampicillin,372
Dominican Republic,Klebsiella pneumoniae + Ampicillin,186,Staphylococcus aureus + Erythromycin,179,Escherichia coli + Ampicillin,162,Staphylococcus aureus + Oxacillin,151,Escherichia coli + Ciprofloxacin,134
Egypt,Escherichia coli + Ampicillin,83,Klebsiella pneumoniae + Ampicillin,76,Escherichia coli + Ceftriaxone,65,Klebsiella pneumoniae + Ceftriaxone,64,Escherichia coli + Levofloxacin,62
El Salvador,Escherichia coli + Ampicillin,72,Klebsiella pneumoniae + Ampicillin,62,Escherichia coli + Levofloxacin,59,Staphylococcus aureus + Levofloxacin,47,Escherichia coli + Ceftriaxone,46
Estonia,Citrobacter freundii + Amoxicillin-clavulanate,10,Citrobacter freundii + Ampicillin,9,Citrobacter freundii + Ceftazidime,5,Citrobacter freundii + Ceftriaxone,5,Citrobacter freundii + Piperacillin-tazobactam,4
Finland,Klebsiella pneumoniae + Ampicillin,211,Escherichia coli + Ampicillin,189,Enterobacter cloacae complex + Amoxicillin-clavulanate,147,Enterobacter cloacae complex + Ampicillin,133,Klebsiella oxytoca + Ampicillin,112
France,Klebsiella pneumoniae + Ampicillin,4420,Escherichia coli + Ampicillin,4070,Enterobacter cloacae complex + Amoxicillin-clavulanate,3132,Enterobacter cloacae complex + Ampicillin,2947,Staphylococcus aureus + Levofloxacin,2842
Germany,Klebsiella pneumoniae + Ampicillin,3682,Escherichia coli + Ampicillin,3520,Enterobacter cloacae complex + Amoxicillin-clavulanate,2756,Staphylococcus aureus + Levofloxacin,2681,Enterobacter cloacae complex + Ampicillin,2602
