Drug-Pathogen Combination,country_count,total_resistant_isolates
Pseudomonas aeruginosa - levofloxacin,83,33963
Escherichia coli - ampicillin,82,82844
Escherichia coli - levofloxacin,82,51585
Klebsiella pneumoniae - ampicillin,81,97287
Escherichia coli - cefepime,81,25797
Klebsiella pneumoniae - amoxicillin-clavulanate,81,24139
Pseudomonas aeruginosa - ceftazidime,81,21787
Escherichia coli - piperacillin-tazobactam,81,12357
Klebsiella pneumoniae - piperacillin-tazobactam,80,30276
Acinetobacter baumannii - piperacillin-tazobactam,80,28215
